reference_id;source_id;target_id
5;4;6
7;6;4
8;6;4
10;9;11
13;12;9
14;12;9
16;15;15
19;18;17
20;18;17
23;22;24
25;22;24
26;24;27
28;24;29
30;24;27
31;24;29
32;27;33
34;27;33
35;11;12
36;11;12
43;42;3
45;44;17
47;46;1
48;46;18
50;49;1
52;51;1
53;51;37
55;54;1
56;54;38
58;57;38
60;59;1
61;59;3
62;59;42
70;69;66
71;69;72
73;69;66
77;74;65
78;74;17
79;74;18
80;74;1
81;74;65
82;74;17
83;74;18
86;84;17
87;84;1
88;84;17
91;89;39
94;92;24
95;92;1
96;92;24
99;97;22
100;97;1
101;97;22
105;104;66
107;106;65
108;102;106
109;102;104
110;102;111
115;114;74
117;116;74
119;118;89
122;121;102
125;72;65
128;127;66
130;129;65
131;111;65
132;111;66
133;72;6
777;124;111