MAIN_OBJ_NAME;MAIN_OBJ_TYPE;SUB_OBJ_NAME;SUB_OBJ_TYPE;SUB_SUB_OBJ_NAME;SUB_SUB_OBJ_TYPE;PACKAGE;number_of_statements;number_of_object_references;number_of_exec_statements;maximum_nesting_depth;cyclomatic_complexity;keyword_named_variables;number_of_comments;halstead_difficulty;halstead_volume;halstead_effort;number_of_methods;number_of_interfaces;number_of_attributes;number_of_events;number_of_redefined_methods;number_of_protected_methods;number_of_public_methods;number_of_private_attributes;number_of_protected_attributes;number_of_public_attributes;amount_of_slin_findings
/GISA/CCLMT_CR_TEST_REPORT_01;PROG;;;;;/GISA/CCLMT_CROSSREF_TEST;6;3;;;;;;;;;;;;;;;;;;;
/GISA/CCLMT_CR_TEST_REPORT_02;PROG;;;;;/GISA/CCLMT_CROSSREF_TEST;2;1;;;;;;;;;;;;;;;;;;;
/GISA/CCLMT_CR_TEST_REPORT_03;PROG;;;;;/GISA/CCLMT_CROSSREF_TEST;1;;;;;;;;;;;;;;;;;;;;
/GISA/CCLMT_CR_TEST_REPORT_04;PROG;;;;;/GISA/CCLMT_CROSSREF_TEST;2;1;;;;;;;;;;;;;;;;;;;
/GISA/CCLMT_CR_TEST_REPORT_05;PROG;;;;;/GISA/CCLMT_CROSSREF_TEST;2;1;;;;;;;;;;;;;;;;;;;
/GISA/CCLMT_INCLUDE_TEST;PROG;;;;;/GISA/CCLMT_CROSSREF_TEST;;6;;;;;;;;;;;;;;;;;;;6
/GISA/CCLMT_INCLUDE_TEST;PROG;LCL_WIND;CLAS;RECITE;METH;/GISA/CCLMT_CROSSREF_TEST;3;1;2;;;;;6;63;352;;;;;;;;;;;
/GISA/CCLMT_INCLUDE_TEST;PROG;HELLO_WORLD;FORM;;;/GISA/CCLMT_CROSSREF_TEST;2;1;1;;;;;3;32;95;;;;;;;;;;;
/GISA/CCLMT_TEST_FUGR01;FUGR;/GISA/CCLMT_TEST_FUBA01;FUNC;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;1;;;6;5;79;357;;;;;;;;;;;
/GISA/CCLMT_TEST_FUGR01;FUGR;/GISA/CCLMT_TEST_PAI_INCLUDE;FUNC;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;1;;;5;4;53;213;;;;;;;;;;;
/GISA/CCLMT_TEST_FUGR01;FUGR;/GISA/CCLMT_TEST_LOCAL_CLASS;FUNC;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;1;;;5;4;43;151;;;;;;;;;;;
/GISA/CCLMT_TEST_FUGR01;FUGR;;;;;/GISA/CCLMT_CROSSREF_TEST;;3;;;;;;;;;;;;;;;;;;;
/GISA/CCLMT_TEST_SAP;FUGR;;;;;/GISA/CCLMT_CROSSREF_TEST;;3;;;;;;;;;;;;;;;;;;;3
/GISA/CCLMT_TEST_SAP;FUGR;/GISA/CCLMT_TEST_INTERSECTION;FUNC;;;/GISA/CCLMT_CROSSREF_TEST;3;2;2;;;;5;5;92;414;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;;;;;/GISA/CCLMT_CROSSREF_TEST;;1;;;;;;;;;;;;;;;;;;;1
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD07;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;1;;;;2;12;17;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD08;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;1;;;;2;12;17;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD_WITH_PARAMETERS;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;1;;;;2;12;17;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD09;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;1;1;;;;;1;2;1;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;NOT_QUITE_SO_LONG_TEST_METHOD;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;1;1;;;;;1;2;1;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;REALLY_REALLY_LONG_TEST_METHOD;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;1;1;;;;;1;2;1;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;/GISA/IF_CCLMT_CR_TEST_IF01~TEST_INTERFACE_METHOD;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;1;;;;2;20;39;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD_WITH_PARAMETERS2;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;1;;;;2;22;34;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD06;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;1;1;;;;;1;2;1;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD05;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;2;2;;;;;1;6;3;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD04;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;1;1;;;;;1;2;1;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;RECURSIVE_METHOD01;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;1;2;1;;;;2;20;39;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;LOOP_METHOD02;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;1;2;1;;;;2;20;39;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;LOOP_METHOD01;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;1;2;1;;;;2;20;39;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD03;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;1;;;;2;12;17;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD02;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;1;2;1;;;;2;20;39;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD01;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;1;;;;2;12;17;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS02;CLAS;;;;;/GISA/CCLMT_CROSSREF_TEST;;;;;;;;;;;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD01;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;;;;;;;;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD02;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;;;;;5;52;249;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD03;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;;;;;5;82;414;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD04;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;;;;;8;153;1268;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD05;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;;;;;10;221;2271;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD06;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;;;;;9;186;1610;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;/GISA/IF_CCLMT_CR_TEST_IF01~TEST_INTERFACE_METHOD;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;1;;;;4;56;222;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD07;METH;;;/GISA/CCLMT_CROSSREF_TEST;4;1;3;;;;;5;61;284;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD08;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;;;;;5;61;329;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;;;;;/GISA/CCLMT_CROSSREF_TEST;;2;;;;;;;;;;;;;;;;;;;
/GISA/IF_CCLMT_CR_TEST_IF01;INTF;;;;;/GISA/CCLMT_CROSSREF_TEST;;;;;;;;;;;;;;;;;;;;;
